Sample_Name,Tube.Label,ID,Species,hapCode,mtDNA_haplo,Genotype,subregion,reefName,reefGroup,x.coord,y.coord,strata
AC-CRF-CR_153,CRF-CF-153,CRF,Acer,29,cerv,U100,Upper Keys,Turtle Rocks,Upper A,25.283617,-80.20715,Upper Keys_CRF_Turtle Rocks
AC-CRF-CR_154,CRF-CF-154,CRF,Acer,35,cerv,U101,Upper Keys,Turtle Rocks,Upper A,25.26645,-80.2119833,Upper Keys_CRF_Turtle Rocks
AC-CRF-CR_156,CRF-CF-156,CRF,Acer,35,cerv,U104,Upper Keys,Carysfort Reef,Upper A,25.221083,-80.2120833,Upper Keys_CRF_Carysfort Reef
AC-CRF-CR_157,CRF-CF-157,CRF,Acer,24,cerv,U105,Upper Keys,Carysfort Reef,Upper A,25.221933,-80.2123167,Upper Keys_CRF_Carysfort Reef
AC-CRF-CR_158,CRF-CF-158,CRF,Acer,10,palm,U90,Upper Keys,North Dry Rocks,Upper A,25.13795,-80.2894,Upper Keys_CRF_North Dry Rocks
AC-CRF-CR_159,CRF-CF-159,CRF,Acer,12,palm,U91,Upper Keys,Horseshoe Reef,Upper A,25.1554,-80.2871,Upper Keys_CRF_Horseshoe Reef
AC-CRF-CR_160,CRF-CF-160,CRF,Acer,24,cerv,U92,Upper Keys,Horseshoe Reef,Upper A,25.1638,-80.2778,Upper Keys_CRF_Horseshoe Reef
AC-CRF-CR_161,CRF-CF-161,CRF,Acer,35,cerv,U93,Upper Keys,Triple A,Upper A,25.1687,-80.26795,Upper Keys_CRF_Triple A
AC-CRF-CR_163,CRF-CF-163,CRF,Acer,35,cerv,U95,Upper Keys,Triple A,Upper A,25.176367,-80.2547333,Upper Keys_CRF_Triple A
AC-CRF-CR_165,CRF-CF-165,CRF,Acer,13,palm,U97,Upper Keys,Triple A,Upper A,25.1987,-80.2459167,Upper Keys_CRF_Triple A
AC-CRF-CR_166,CRF-CF-166,CRF,Acer,28,cerv,U98,Upper Keys,Triple A,Upper A,25.202767,-80.24535,Upper Keys_CRF_Triple A
AC-CRF-CR_167,CRF-CF-167,CRF,Acer,24,cerv,U99,Upper Keys,Turtle Rocks,Upper A,25.282867,-80.2076833,Upper Keys_CRF_Turtle Rocks
AC-CRF-TV_10,CRF-TAV-010,CRF,Acer,10,palm,U11,Upper Keys,Tavernier Patch Reef 1,Upper B,24.987133,-80.4528833,Upper Keys_CRF_Tavernier Patch Reef 1
AC-CRF-TV_11,CRF-TAV-011,CRF,Acer,12,palm,U12,Upper Keys,Tavernier Patch Reef 1,Upper B,24.9516,-80.4887,Upper Keys_CRF_Tavernier Patch Reef 1
AC-CRF-TV_12,CRF-TAV-012,CRF,Acer,13,palm,U14,Upper Keys,Tavernier Patch Reef 1,Upper B,24.9507,-80.4900667,Upper Keys_CRF_Tavernier Patch Reef 1
AC-CRF-TV_13,CRF-TAV-013,CRF,Acer,10,palm,U15,Upper Keys,Tavernier Patch Reef 3,Upper B,24.987683,-80.43475,Upper Keys_CRF_Tavernier Patch Reef 3
AC-CRF-TV_14,CRF-TAV-014,CRF,Acer,13,palm,U16,Upper Keys,Higdons Reef,Upper A,25.141717,-80.3136833,Upper Keys_CRF_Higdons Reef
AC-CRF-TV_15,CRF-TAV-015,CRF,Acer,5,palm,U17,Upper Keys,Molasses Trench,Upper B,25.002533,-80.4231833,Upper Keys_CRF_Molasses Trench
AC-CRF-TV_16,CRF-TAV-016,CRF,Acer,13,palm,U18,Upper Keys,Tavernier Patch Reef 3,Upper B,24.989417,-80.4667333,Upper Keys_CRF_Tavernier Patch Reef 3
AC-CRF-TV_17,CRF-TAV-017,CRF,Acer,26,cerv,U19,Upper Keys,Tavernier Patch Reef 3,Upper B,24.987867,-80.4678333,Upper Keys_CRF_Tavernier Patch Reef 3
