ID,gen_id,data_origin,species,location,reef,lat,lon
Ac_FL_B10,B10,vollmer,Ac,Florida,Upper Keys-Broward County,25.9891,-80.1091667
Ac_FL_B8,B8,vollmer,Ac,Florida,Upper Keys-Broward County,26.057167,-80.1056
Ac_FL_K1,K1,vollmer,Ac,Florida,Upper Keys-Live Rock Farm,24.9822,-80.4363
Ac_FL_K2,K2,vollmer,Ac,Florida,Upper Keys-Live Rock Farm,24.9822,-80.4363
Ac_FL_KW15,KW15,vollmer,Ac,Florida,Lower Keys-Key West Patch Reef,24.5005,-81.7416833
Ac_FL_M10,M10,vollmer,Ac,Florida,Middle Keys-West Turtle Shoal,24.692317,-80.97575
Ac_FL_M1,M1,vollmer,Ac,Florida,Middle Keys-East Turtle Shoal,24.721683,-80.9277833
Ac_FL_M2,M2,vollmer,Ac,Florida,Middle Keys-East Turtle Shoal,24.72015,-80.92875
Ac_FL_M3,M3,vollmer,Ac,Florida,Middle Keys-East Turtle Shoal,24.71335,-80.9447833
Ac_FL_M5,M5,vollmer,Ac,Florida,Middle Keys-East Turtle Shoal,24.711783,-80.9459667
Ac_FL_M6,M6,vollmer,Ac,Florida,Middle Keys-East Turtle Shoal,24.710817,-80.948
Ac_FL_M7,M7,vollmer,Ac,Florida,Middle Keys-East Turtle Shoal,24.71845,-80.9307833
Ac_FL_U100,U100,vollmer,Ac,Florida,Upper Keys-Turtle Rocks,25.283617,-80.20715
Ac_FL_U11,U11,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 1,24.987133,-80.4528833
Ac_FL_U14,U14,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 1,24.9507,-80.4900667
Ac_FL_U15,U15,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 3,24.987683,-80.43475
Ac_FL_U17,U17,vollmer,Ac,Florida,Upper Keys-Molasses Trench,25.002533,-80.4231833
Ac_FL_U19,U19,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 3,24.987867,-80.4678333
Ac_FL_U20,U20,vollmer,Ac,Florida,Upper Keys-Crocker Reef,24.892433,-80.5452333
Ac_FL_U31,U31,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 3,24.989917,-80.45215
Ac_FL_U33,U33,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 3,25.003583,-80.4509167
Ac_FL_U35,U35,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 3,25.00945,-80.4514
Ac_FL_U37,U37,vollmer,Ac,Florida,Upper Keys-Pickles Reef,24.9886,-80.4025667
Ac_FL_U39,U39,vollmer,Ac,Florida,Upper Keys-Conch Reef,24.9519,-80.4511333
Ac_FL_U3,U3,vollmer,Ac,Florida,Upper Keys-Plantation Key Patch Reef,24.9574,-80.4923833
Ac_FL_U41,U41,vollmer,Ac,Florida,Upper Keys-Conch Reef,24.946333,-80.4701667
Ac_FL_U42,U42,vollmer,Ac,Florida,Upper Keys-Plantation Key Patch Reef,24.9509,-80.4936167
Ac_FL_U43,U43,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 1,24.951883,-80.4916167
Ac_FL_U44,U44,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 3,24.988117,-80.4637167
Ac_FL_U46,U46,vollmer,Ac,Florida,Upper Keys-Molasses Trench,25.013717,-80.415
Ac_FL_U47,U47,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 2,24.994217,-80.4429667
Ac_FL_U4,U4,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 3,25.00785,-80.44805
Ac_FL_U55,U55,vollmer,Ac,Florida,Upper Keys-Conch Reef,24.9463,-80.4708
Ac_FL_U58,U58,vollmer,Ac,Florida,Upper Keys-Lower Matecumbe,24.830533,-80.6437667
Ac_FL_U59,U59,vollmer,Ac,Florida,Upper Keys-Lower Matecumbe,24.813117,-80.6691333
Ac_FL_U5,U5,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 3,24.988467,-80.4498833
Ac_FL_U62,U62,vollmer,Ac,Florida,Upper Keys-North Dry Rocks,25.1356,-80.2897333
Ac_FL_U63,U63,vollmer,Ac,Florida,Upper Keys-North Dry Rocks,25.12995,-80.2852333
Ac_FL_U65,U65,vollmer,Ac,Florida,Upper Keys-North Dry Rocks,25.12715,-80.29455
Ac_FL_U67,U67,vollmer,Ac,Florida,Upper Keys-Lower Matecumbe,24.80205,-80.6673667
Ac_FL_U69,U69,vollmer,Ac,Florida,Upper Keys-Lower Matecumbe,24.80255,-80.6524
Ac_FL_U71,U71,vollmer,Ac,Florida,Upper Keys-Higdons Reef,25.134383,-80.30245
Ac_FL_U72,U72,vollmer,Ac,Florida,Upper Keys-North Dry Rocks,25.133717,-80.2843833
Ac_FL_U75,U75,vollmer,Ac,Florida,Upper Keys-Lower Matecumbe,24.813617,-80.6669667
Ac_FL_U91,U91,vollmer,Ac,Florida,Upper Keys-Horseshoe Reef,25.1554,-80.2871
Ac_FL_U93,U93,vollmer,Ac,Florida,Upper Keys-Triple A,25.1687,-80.26795
Ac_FL_U98,U98,vollmer,Ac,Florida,Upper Keys-Triple A,25.202767,-80.24535
Ac_FL_U9,U9,vollmer,Ac,Florida,Upper Keys-Plantation Key Patch Reef,24.942967,-80.4965167
Ac_PA_CK140,CK140,vollmer,Ac,Panama,CK14,9.253966666666667,-82.12595
Ac_PA_CK1410,CK1410,vollmer,Ac,Panama,CK14,9.253966666666667,-82.12595
Ac_PA_CK141,CK141,vollmer,Ac,Panama,CK14,9.253966666666667,-82.12595
Ac_PA_CK142,CK142,vollmer,Ac,Panama,CK14,9.253966666666667,-82.12595
Ac_PA_CK143,CK143,vollmer,Ac,Panama,CK14,9.253966666666667,-82.12595
Ac_PA_CK144,CK144,vollmer,Ac,Panama,CK14,9.253966666666667,-82.12595
Ac_PA_CK145,CK145,vollmer,Ac,Panama,CK14,9.253966666666667,-82.12595
Ac_PA_CK146,CK146,vollmer,Ac,Panama,CK14,9.253966666666667,-82.12595
Ac_PA_CK147,CK147,vollmer,Ac,Panama,CK14,9.253966666666667,-82.12595
Ac_PA_CK410,CK410,vollmer,Ac,Panama,CK4,9.258616666666667,-82.12708333333333
Ac_PA_CK41,CK41,vollmer,Ac,Panama,CK4,9.258616666666667,-82.12708333333333
Ac_PA_CK42,CK42,vollmer,Ac,Panama,CK4,9.258616666666667,-82.12708333333333
Ac_PA_CK43,CK43,vollmer,Ac,Panama,CK4,9.258616666666667,-82.12708333333333
Ac_PA_CK44,CK44,vollmer,Ac,Panama,CK4,9.258616666666667,-82.12708333333333
Ac_PA_CK45,CK45,vollmer,Ac,Panama,CK4,9.258616666666667,-82.12708333333333
Ac_PA_CK46,CK46,vollmer,Ac,Panama,CK4,9.258616666666667,-82.12708333333333
Ac_PA_CK47,CK47,vollmer,Ac,Panama,CK4,9.258616666666667,-82.12708333333333
Ac_PA_CK48,CK48,vollmer,Ac,Panama,CK4,9.258616666666667,-82.12708333333333
Ac_PA_CK49,CK49,vollmer,Ac,Panama,CK4,9.258616666666667,-82.12708333333333
Ac_PA_HS10,HS10,vollmer,Ac,Panama,HS,9.27955,-82.11548333333333
Ac_PA_HS1,HS1,vollmer,Ac,Panama,HS,9.27955,-82.11548333333333
Ac_PA_HS2,HS2,vollmer,Ac,Panama,HS,9.27955,-82.11548333333333
Ac_PA_HS3,HS3,vollmer,Ac,Panama,HS,9.27955,-82.11548333333333
Ac_PA_HS4,HS4,vollmer,Ac,Panama,HS,9.27955,-82.11548333333333
Ac_PA_HS5,HS5,vollmer,Ac,Panama,HS,9.27955,-82.11548333333333
Ac_PA_HS6,HS6,vollmer,Ac,Panama,HS,9.27955,-82.11548333333333
Ac_PA_HS7,HS7,vollmer,Ac,Panama,HS,9.27955,-82.11548333333333
Ac_PA_HS8,HS8,vollmer,Ac,Panama,HS,9.27955,-82.11548333333333
Ac_PA_HS9,HS9,vollmer,Ac,Panama,HS,9.27955,-82.11548333333333
Ac_PA_SR10,SR10,vollmer,Ac,Panama,SR,9.254566666666667,-82.12718333333333
Ac_PA_SR1,SR1,vollmer,Ac,Panama,SR,9.254566666666667,-82.12718333333333
Ac_PA_SR2,SR2,vollmer,Ac,Panama,SR,9.254566666666667,-82.12718333333333
