gen_id,location,treatment,disease_resistance,disease_resistance_se
U91,Florida,H,0.641007403925264,0.4813912879244046
U93,Florida,H,0.5923929390135583,0.5232394579313006
M6,Florida,H,0.6739288808587626,0.44947342854547895
M5,Florida,H,0.8177573762249534,0.2793876157935628
M7,Florida,H,0.6574385176270734,0.4658108347047927
M3,Florida,H,0.6574385176270734,0.4658108347047926
U8,Florida,H,0.4859204838496638,0.5905099944410679
U4,Florida,H,0.7069344564083183,0.4147285063145178
K2,Florida,H,0.6904411296223212,0.43242695946913434
U5,Florida,H,0.7069344564083183,0.41472850631451763
U67,Florida,H,0.7558420404091826,0.35843631575889245
B10,Florida,H,0.7233646231145308,0.3964446972220837
U3,Florida,H,0.7396840556877171,0.3776519173014358
U46,Florida,H,0.5003823361060163,0.5835052116843791
KW15,Florida,H,0.8028008004620453,0.29925316398410784
U42,Florida,H,0.5151141910682736,0.5756469866646283
U44,Florida,H,0.5608172691446898,0.5468415424986519
M10,Florida,H,0.6084555168031996,0.51013281438545
U20,Florida,H,0.7233646231145308,0.39644469722208325
U69,Florida,H,0.7233646231145308,0.39644469722208314
U62,Florida,H,0.641007403925264,0.4813912879244048
U14,Florida,H,0.6084555168031998,0.5101328143854501
U31,Florida,H,0.5151141910682736,0.5756469866646285
U32,Florida,H,0.7874571711297839,0.3191282821221348
U11,Florida,H,0.7558420404091827,0.3584363157588925
U35,Florida,H,0.6904411296223212,0.4324269594691344
U37,Florida,H,0.8177573762249534,0.2793876157935628
U9,Florida,H,0.7874571711297839,0.3191282821221349
U72,Florida,H,0.7874571711297839,0.31912828212213484
U75,Florida,H,0.7069344564083183,0.41472850631451763
M1,Florida,H,0.21077999043948228,0.5507653243688482
U55,Florida,H,0.7396840556877171,0.37765191730143577
K1,Florida,H,0.8177573762249534,0.2793876157935629
U19,Florida,H,0.6904411296223212,0.43242695946913423
M2,Florida,H,0.6084555168031998,0.5101328143854501
B8,Florida,H,0.5923929390135583,0.5232394579313006
U39,Florida,H,0.6084555168031996,0.5101328143854501
U98,Florida,H,0.5765062939175712,0.5354790779074884
U15,Florida,H,0.7069344564083183,0.41472850631451774
U17,Florida,H,0.6739288808587626,0.44947342854547884
U47,Florida,H,0.6246695110914133,0.4961756154300497
U71,Florida,H,0.8177573762249534,0.2793876157935628
U58,Florida,H,0.36885011008968455,0.6184645801263241
U65,Florida,H,0.6246695110914133,0.4961756154300496
U59,Florida,H,0.5003823361060162,0.5835052116843791
U33,Florida,H,0.5608172691446898,0.5468415424986519
U100,Florida,H,0.6574385176270734,0.4658108347047928
U63,Florida,H,0.7233646231145308,0.3964446972220833
U41,Florida,H,0.7514350404579851,0.3638436634121197
U43,Florida,H,0.6171512153575465,0.5028728740785613
U91,Florida,D,0.36876170848867795,0.6193261051596971
U93,Florida,D,0.3089636881866898,0.610286361561012
M6,Florida,D,0.4126090663756678,0.6154166333530384
M5,Florida,D,0.6367881518843654,0.48655380488084
M7,Florida,D,0.3903047418355598,0.6184401662174047
M3,Florida,D,0.3903047418355598,0.6184401662174046
U8,Florida,D,0.19810154955141748,0.53836963804898
U4,Florida,D,0.4593249166781684,0.6026256519494165
K2,Florida,D,0.4356333398942291,0.6101672256618113
U5,Florida,D,0.4593249166781684,0.6026256519494163
U67,Florida,D,0.5336919135626396,0.5660026816892189
B10,Florida,D,0.48361904735164635,0.5927518178838505
U3,Florida,D,0.508438248490982,0.5805359840581423
U46,Florida,D,0.21157268509462895,0.5517389074708743
KW15,Florida,D,0.610958320744247,0.5093239304991525
U42,Florida,D,0.22580210845954632,0.5643033028855169
U44,Florida,D,0.2732397851191928,0.5958240819250067
M10,Florida,D,0.3280738800080762,0.6151238525184171
U20,Florida,D,0.48361904735164635,0.5927518178838499
U69,Florida,D,0.48361904735164635,0.5927518178838498
U62,Florida,D,0.36876170848867795,0.6193261051596973
U14,Florida,D,0.3280738800080762,0.6151238525184171
U31,Florida,D,0.22580210845954632,0.564303302885517
U32,Florida,D,0.5850746003769431,0.5302730173628718
U11,Florida,D,0.5336919135626396,0.5660026816892191
U35,Florida,D,0.4356333398942291,0.6101672256618114
U37,Florida,D,0.6367881518843654,0.48655380488084
U9,Florida,D,0.5850746003769431,0.5302730173628718
U72,Florida,D,0.5850746003769431,0.5302730173628718
U75,Florida,D,0.4593249166781684,0.6026256519494163
M1,Florida,D,0.03042154565820803,0.1777625291466582
