ID,read,Genome,symbiodinium_species,#Reads_processed,#Unmapped,%Unmapped,#One_hit_one_genome,%One_hit_one_genome,#Multiple_hits_one_genome,%Multiple_hits_one_genome,#One_hit_multiple_genomes,%One_hit_multiple_genomes,Multiple_hits_multiple_genomes,%Multiple_hits_multiple_genomes
Ac_FL_B10,r1,Human,NA,29089411,28867091,99.25,4094,0.01,895,0,24307,0.08,193024,0.66
Ac_FL_B10,r1,Ecoli,NA,29089411,29088838,100,0,0,0,0,149,0,424,0
Ac_FL_B10,r1,PhiX,NA,29089411,29089411,100,0,0,0,0,0,0,0,0
Ac_FL_B10,r1,Contamnts_Adaptrs,NA,29089411,29089411,100,0,0,0,0,0,0,0,0
Ac_FL_B10,r1,Vectors,NA,29089411,29078239,99.96,5,0,0,0,830,0,10337,0.04
Ac_FL_B10,r1,Bacteria_24k,NA,29089411,28898801,99.35,8189,0.03,36345,0.12,11329,0.04,134747,0.46
Ac_FL_B10,r1,Protists_1k,NA,29089411,28488888,97.93,28408,0.1,29762,0.1,109244,0.38,433109,1.49
Ac_FL_B10,r1,Viruses,NA,29089411,28957749,99.55,257,0,67,0,15374,0.05,115964,0.4
Ac_FL_B10,r1,Fungi_RefSeq_release,NA,29089411,28850172,99.18,5629,0.02,1429,0,31667,0.11,200514,0.69
Ac_FL_B10,r1,Bird,NA,29089411,28901613,99.35,1572,0.01,163,0,21854,0.08,164209,0.56
Ac_FL_B10,r1,Plant,NA,29089411,28932985,99.46,858,0,132,0,14325,0.05,141111,0.49
Ac_FL_B10,r1,Symbiodinium,NA,29089411,28615431,98.37,121,0,16,0,116601,0.4,357242,1.23
Ac_FL_B10,r1,GCA_001939145.1,Symbiodinium microadriaticum,29089411,28855403,99.19,193,0,98,0,42784,0.15,190933,0.66
Ac_FL_B10,r1,GCA_003297005.1,Symbiodinium sp. clade A Y106,29089411,28690094,98.62,189,0,10,0,164522,0.57,234596,0.81
Ac_FL_B10,r1,GCA_003297045.1,Symbiodinium sp. clade C Y103,29089411,28911514,99.39,203,0,13,0,18810,0.06,158871,0.55
Ac_FL_B10,r1,GCA_009767595.1,Symbiodinium kawagutii,29089411,28907044,99.38,222,0,23,0,21283,0.07,160839,0.55
Ac_FL_B10,r1,GCA_018327485.1,Symbiodinium microadriaticum,29089411,28862368,99.22,195,0,10,0,44296,0.15,182542,0.63
Ac_FL_B10,r1,GCA_905221605.1,Symbiodinium natans,29089411,28889050,99.31,165,0,15,0,22095,0.08,178086,0.61
Ac_FL_B10,r1,GCA_905221615.1,Symbiodinium sp. CCMP2592,29089411,28811182,99.04,130,0,23,0,71907,0.25,206169,0.71
