ID,gen_id,data_origin,species,location,reef,lat,lon,clone_group,disease_resistance
Ac_FL_B10,B10,vollmer,Ac,Florida,Upper Keys-Broward County,25.9891,-80.1091667,clone_43,0.48361904735164635
Ac_FL_B8,B8,vollmer,Ac,Florida,Upper Keys-Broward County,26.057167,-80.1056,clone_66,0.3089636881866898
Ac_FL_KW15,KW15,vollmer,Ac,Florida,Lower Keys-Key West Patch Reef,24.5005,-81.7416833,clone_5,0.610958320744247
Ac_FL_M10,M10,vollmer,Ac,Florida,Middle Keys-West Turtle Shoal,24.692317,-80.97575,clone_6,0.3280738800080762
Ac_FL_M2,M2,vollmer,Ac,Florida,Middle Keys-East Turtle Shoal,24.72015,-80.92875,clone_9,0.3280738800080762
Ac_FL_M5,M5,vollmer,Ac,Florida,Middle Keys-East Turtle Shoal,24.711783,-80.9459667,clone_10,0.6367881518843654
Ac_FL_M6,M6,vollmer,Ac,Florida,Middle Keys-East Turtle Shoal,24.710817,-80.948,clone_11,0.4126090663756678
Ac_FL_M7,M7,vollmer,Ac,Florida,Middle Keys-East Turtle Shoal,24.71845,-80.9307833,clone_98,0.3903047418355598
Ac_FL_U100,U100,vollmer,Ac,Florida,Upper Keys-Turtle Rocks,25.283617,-80.20715,clone_13,0.3903047418355598
Ac_FL_U11,U11,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 1,24.987133,-80.4528833,clone_7,0.5336919135626396
Ac_FL_U14,U14,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 1,24.9507,-80.4900667,clone_3,0.3280738800080762
Ac_FL_U15,U15,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 3,24.987683,-80.43475,clone_16,0.4593249166781684
Ac_FL_U17,U17,vollmer,Ac,Florida,Upper Keys-Molasses Trench,25.002533,-80.4231833,clone_17,0.4126090663756678
Ac_FL_U19,U19,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 3,24.987867,-80.4678333,clone_18,0.4356333398942291
Ac_FL_U20,U20,vollmer,Ac,Florida,Upper Keys-Crocker Reef,24.892433,-80.5452333,clone_19,0.48361904735164635
Ac_FL_U31,U31,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 3,24.989917,-80.45215,clone_20,0.22580210845954632
Ac_FL_U33,U33,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 3,25.003583,-80.4509167,clone_21,0.2732397851191928
Ac_FL_U35,U35,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 3,25.00945,-80.4514,clone_22,0.4356333398942291
Ac_FL_U37,U37,vollmer,Ac,Florida,Upper Keys-Pickles Reef,24.9886,-80.4025667,clone_26,0.6367881518843654
Ac_FL_U39,U39,vollmer,Ac,Florida,Upper Keys-Conch Reef,24.9519,-80.4511333,clone_24,0.3280738800080762
Ac_FL_U3,U3,vollmer,Ac,Florida,Upper Keys-Plantation Key Patch Reef,24.9574,-80.4923833,clone_25,0.508438248490982
Ac_FL_U42,U42,vollmer,Ac,Florida,Upper Keys-Plantation Key Patch Reef,24.9509,-80.4936167,clone_27,0.22580210845954632
Ac_FL_U43,U43,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 1,24.951883,-80.4916167,clone_28,0.3386852215489822
Ac_FL_U44,U44,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 3,24.988117,-80.4637167,clone_29,0.2732397851191928
Ac_FL_U46,U46,vollmer,Ac,Florida,Upper Keys-Molasses Trench,25.013717,-80.415,clone_30,0.21157268509462895
Ac_FL_U47,U47,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 2,24.994217,-80.4429667,clone_103,0.34801091411193924
Ac_FL_U4,U4,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 3,25.00785,-80.44805,clone_32,0.4593249166781684
Ac_FL_U55,U55,vollmer,Ac,Florida,Upper Keys-Conch Reef,24.9463,-80.4708,clone_33,0.508438248490982
Ac_FL_U58,U58,vollmer,Ac,Florida,Upper Keys-Lower Matecumbe,24.830533,-80.6437667,clone_34,0.10674234253642308
Ac_FL_U59,U59,vollmer,Ac,Florida,Upper Keys-Lower Matecumbe,24.813117,-80.6691333,clone_35,0.2115726850946289
Ac_FL_U5,U5,vollmer,Ac,Florida,Upper Keys-Tavernier Patch Reef 3,24.988467,-80.4498833,clone_36,0.4593249166781684
Ac_FL_U63,U63,vollmer,Ac,Florida,Upper Keys-North Dry Rocks,25.12995,-80.2852333,clone_38,0.48361904735164635
Ac_FL_U65,U65,vollmer,Ac,Florida,Upper Keys-North Dry Rocks,25.12715,-80.29455,clone_39,0.3480109141119393
Ac_FL_U69,U69,vollmer,Ac,Florida,Upper Keys-Lower Matecumbe,24.80255,-80.6524,clone_41,0.48361904735164635
Ac_FL_U71,U71,vollmer,Ac,Florida,Upper Keys-Higdons Reef,25.134383,-80.30245,clone_42,0.6367881518843654
Ac_FL_U75,U75,vollmer,Ac,Florida,Upper Keys-Lower Matecumbe,24.813617,-80.6669667,clone_44,0.4593249166781684
Ac_FL_U91,U91,vollmer,Ac,Florida,Upper Keys-Horseshoe Reef,25.1554,-80.2871,clone_45,0.3687617084886779
Ac_FL_U93,U93,vollmer,Ac,Florida,Upper Keys-Triple A,25.1687,-80.26795,clone_46,0.3089636881866898
