locus,clump_id,es,p,fdr,gene_id,mutation_type,is_index,swissprot_id,swissprot_name
Acerv_scaffold_115-670368,Acerv_scaffold_115:clump_1,1.8448794984780488,2.6920880109826073e-6,0.04461260949600102,Acer_00029721,Non-Coding,TRUE,sp|Q2KHZ9|GCDH_BOVIN,"Glutaryl-CoA dehydrogenase, mitochondrial OS=Bos taurus OX=9913 GN=GCDH PE=2 SV=1"
Acerv_scaffold_115-674022,Acerv_scaffold_115:clump_1,1.7568705928343906,5.887555871943958e-6,0.06955278702479094,Acer_00029722,Non-Coding,FALSE,sp|Q9CZU3|MTREX_MOUSE,Exosome RNA helicase MTR4 OS=Mus musculus OX=10090 GN=Mtrex PE=1 SV=1
Acerv_scaffold_142-196510,Acerv_scaffold_142:clump_1,-1.4359968920243793,2.859068758207873e-4,0.3934652403639971,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-196820,Acerv_scaffold_142:clump_1,-1.839930324370227,7.51106708208144e-7,0.01518974553569285,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-196845,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-197130,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-197882,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-198033,Acerv_scaffold_142:clump_1,-1.5233944575773624,1.070433558961991e-4,0.33788490153768336,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-198375,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-198384,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Synonomous,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-198533,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-198603,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-198668,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
